,polygon_id,year,month,pai,date
6_1_2019,6,2019,1,,01-19
7_1_2019,7,2019,1,,01-19
8_1_2019,8,2019,1,,01-19
6_2_2019,6,2019,2,,02-19
7_2_2019,7,2019,2,,02-19
8_2_2019,8,2019,2,,02-19
6_3_2019,6,2019,3,,03-19
7_3_2019,7,2019,3,,03-19
8_3_2019,8,2019,3,,03-19
1_4_2019,1,2019,4,3.0916501028059193,04-19
2_4_2019,2,2019,4,3.2129134108651862,04-19
3_4_2019,3,2019,4,4.052268737283076,04-19
4_4_2019,4,2019,4,4.295209259503071,04-19
5_4_2019,5,2019,4,3.9206750961726384,04-19
6_4_2019,6,2019,4,0.8423868267203689,04-19
7_4_2019,7,2019,4,0.5410655757526779,04-19
8_4_2019,8,2019,4,0.8813578837427108,04-19
1_5_2019,1,2019,5,4.1910917250280555,05-19
2_5_2019,2,2019,5,4.160089024626516,05-19
3_5_2019,3,2019,5,4.033581759968155,05-19
4_5_2019,4,2019,5,4.145639332914538,05-19
5_5_2019,5,2019,5,4.07638079525045,05-19
6_5_2019,6,2019,5,0.6284726006880047,05-19
7_5_2019,7,2019,5,0.41057879522173435,05-19
8_5_2019,8,2019,5,1.0956283275910783,05-19
1_6_2019,1,2019,6,4.266438824860285,06-19
2_6_2019,2,2019,6,4.2274844128785825,06-19
3_6_2019,3,2019,6,4.225018838270157,06-19
4_6_2019,4,2019,6,4.3176054430517485,06-19
5_6_2019,5,2019,6,4.129500206752122,06-19
6_6_2019,6,2019,6,0.6285460423384787,06-19
7_6_2019,7,2019,6,0.3654437561384284,06-19
8_6_2019,8,2019,6,0.7514687094759672,06-19
1_7_2019,1,2019,7,4.0789468047244535,07-19
2_7_2019,2,2019,7,3.92116312739221,07-19
3_7_2019,3,2019,7,4.45525777602433,07-19
4_7_2019,4,2019,7,4.399498627457637,07-19
5_7_2019,5,2019,7,4.046633574322341,07-19
6_7_2019,6,2019,7,0.5908090463178992,07-19
7_7_2019,7,2019,7,0.35976724300124857,07-19
8_7_2019,8,2019,7,0.9229955993084659,07-19
1_8_2019,1,2019,8,4.373359460247612,08-19
2_8_2019,2,2019,8,4.318095302595646,08-19
3_8_2019,3,2019,8,4.0639278508222,08-19
4_8_2019,4,2019,8,4.316412946469311,08-19
5_8_2019,5,2019,8,3.769578112219735,08-19
6_8_2019,6,2019,8,0.5699050970534583,08-19
7_8_2019,7,2019,8,0.26358061972871416,08-19
8_8_2019,8,2019,8,0.8153529393346556,08-19
1_9_2019,1,2019,9,4.171697283334411,09-19
2_9_2019,2,2019,9,3.9474238056034427,09-19
3_9_2019,3,2019,9,4.264126701482565,09-19
4_9_2019,4,2019,9,4.369949634196762,09-19
5_9_2019,5,2019,9,3.5971055936237777,09-19
6_9_2019,6,2019,9,0.4953565276660446,09-19
7_9_2019,7,2019,9,0.25924543559155494,09-19
8_9_2019,8,2019,9,0.7037673236768217,09-19
1_10_2019,1,2019,10,3.8168776550347374,10-19
2_10_2019,2,2019,10,3.7460668065166023,10-19
3_10_2019,3,2019,10,3.877021981272124,10-19
4_10_2019,4,2019,10,4.006226452780209,10-19
5_10_2019,5,2019,10,3.6067036961803325,10-19
6_10_2019,6,2019,10,0.5787212098845468,10-19
7_10_2019,7,2019,10,0.2808525014937486,10-19
8_10_2019,8,2019,10,0.7203331372804044,10-19
1_11_2019,1,2019,11,4.0277610396864745,11-19
2_11_2019,2,2019,11,4.2190742615656,11-19
3_11_2019,3,2019,11,4.3979083187430135,11-19
4_11_2019,4,2019,11,4.2402568485718035,11-19
5_11_2019,5,2019,11,2.9387001674311954,11-19
6_11_2019,6,2019,11,0.7141898858111235,11-19
7_11_2019,7,2019,11,0.40737303299703265,11-19
8_11_2019,8,2019,11,0.7981325623661084,11-19
1_12_2019,1,2019,12,4.263391525560634,12-19
2_12_2019,2,2019,12,3.0206019145364675,12-19
3_12_2019,3,2019,12,3.1377842492601182,12-19
4_12_2019,4,2019,12,3.7840676836015055,12-19
5_12_2019,5,2019,12,3.6372756846704037,12-19
6_12_2019,6,2019,12,0.8463472322701038,12-19
7_12_2019,7,2019,12,0.5978954251796605,12-19
8_12_2019,8,2019,12,0.8352515162874541,12-19
1_1_2020,1,2020,1,3.990468750790691,01-20
2_1_2020,2,2020,1,4.029302709278497,01-20
4_1_2020,4,2020,1,4.283323400777699,01-20
5_1_2020,5,2020,1,4.0068170718465845,01-20
3_1_2020,3,2020,1,2.606483341383648,01-20
6_1_2020,6,2020,1,0.7699258735221819,01-20
7_1_2020,7,2020,1,0.6145283581971045,01-20
8_1_2020,8,2020,1,0.8900786754160509,01-20
1_2_2020,1,2020,2,3.498415980485105,02-20
2_2_2020,2,2020,2,4.033063096345196,02-20
3_2_2020,3,2020,2,3.0582606931923815,02-20
4_2_2020,4,2020,2,3.67837144578228,02-20
5_2_2020,5,2020,2,4.004942812206132,02-20
6_2_2020,6,2020,2,0.9147787225387812,02-20
7_2_2020,7,2020,2,0.588519398485757,02-20
8_2_2020,8,2020,2,1.1100308413553526,02-20
1_3_2020,1,2020,3,3.9945213921999447,03-20
2_3_2020,2,2020,3,4.165775627391959,03-20
3_3_2020,3,2020,3,3.898683742518751,03-20
4_3_2020,4,2020,3,3.605889893994585,03-20
5_3_2020,5,2020,3,2.371950223943706,03-20
6_3_2020,6,2020,3,1.0202567804557647,03-20
7_3_2020,7,2020,3,0.6141920799494112,03-20
8_3_2020,8,2020,3,1.5440878312436062,03-20
1_4_2020,1,2020,4,3.4828803800785035,04-20
2_4_2020,2,2020,4,2.5772198149755376,04-20
4_4_2020,4,2020,4,3.261348527573707,04-20
5_4_2020,5,2020,4,3.8185327555745583,04-20
6_4_2020,6,2020,4,0.7868615989788134,04-20
7_4_2020,7,2020,4,0.5189755824493364,04-20
8_4_2020,8,2020,4,0.911039031881248,04-20
1_5_2020,1,2020,5,4.0444910326603285,05-20
2_5_2020,2,2020,5,4.125389403145893,05-20
3_5_2020,3,2020,5,4.139228908717316,05-20
4_5_2020,4,2020,5,4.028176925421193,05-20
5_5_2020,5,2020,5,3.796556384607367,05-20
6_5_2020,6,2020,5,0.753941832260891,05-20
7_5_2020,7,2020,5,0.45476973749726857,05-20
8_5_2020,8,2020,5,1.1631439012946079,05-20
1_6_2020,1,2020,6,4.189081287857159,06-20
2_6_2020,2,2020,6,4.18315983359516,06-20
3_6_2020,3,2020,6,3.8543637834760265,06-20
4_6_2020,4,2020,6,4.079615989195705,06-20
5_6_2020,5,2020,6,4.148142531537056,06-20
6_6_2020,6,2020,6,0.6079473625600775,06-20
7_6_2020,7,2020,6,0.44043364328006257,06-20
8_6_2020,8,2020,6,1.1217143170350106,06-20
2_7_2020,2,2020,7,4.106909266746061,07-20
4_7_2020,4,2020,7,4.168513152875926,07-20
5_7_2020,5,2020,7,3.9348424949866376,07-20
6_7_2020,6,2020,7,0.5972409860773312,07-20
7_7_2020,7,2020,7,0.5269047991836198,07-20
8_7_2020,8,2020,7,0.8992231804912793,07-20
1_8_2020,1,2020,8,3.1511074480527888,08-20
2_8_2020,2,2020,8,3.986911304770562,08-20
4_8_2020,4,2020,8,4.255289799741366,08-20
5_8_2020,5,2020,8,3.601341988681058,08-20
6_8_2020,6,2020,8,0.5659392103676804,08-20
7_8_2020,7,2020,8,0.3523172860590637,08-20
8_8_2020,8,2020,8,0.9251793443532124,08-20
1_9_2020,1,2020,9,4.00078804170014,09-20
2_9_2020,2,2020,9,3.9932710809226237,09-20
4_9_2020,4,2020,9,4.081766787939957,09-20
5_9_2020,5,2020,9,3.5342678380824393,09-20
6_9_2020,6,2020,9,0.5096952154317638,09-20
7_9_2020,7,2020,9,0.28818982058850634,09-20
8_9_2020,8,2020,9,0.9311261489694814,09-20
1_10_2020,1,2020,10,2.3378650700322146,10-20
2_10_2020,2,2020,10,3.262570781780546,10-20
4_10_2020,4,2020,10,4.016654376792363,10-20
5_10_2020,5,2020,10,3.5112066400862525,10-20
6_10_2020,6,2020,10,0.6795538144395692,10-20
7_10_2020,7,2020,10,0.40120299784662555,10-20
8_10_2020,8,2020,10,0.809069584084567,10-20
1_11_2020,1,2020,11,3.923133791214858,11-20
2_11_2020,2,2020,11,3.3524587217715998,11-20
3_11_2020,3,2020,11,2.7592526071644174,11-20
4_11_2020,4,2020,11,3.9752426384211508,11-20
5_11_2020,5,2020,11,3.8079198074935814,11-20
6_11_2020,6,2020,11,1.0887761741176365,11-20
7_11_2020,7,2020,11,0.684807758821995,11-20
8_11_2020,8,2020,11,1.309324336916502,11-20
1_12_2020,1,2020,12,3.691451840026497,12-20
2_12_2020,2,2020,12,3.7549580671948735,12-20
3_12_2020,3,2020,12,3.5060166778931343,12-20
4_12_2020,4,2020,12,4.063096424294459,12-20
5_12_2020,5,2020,12,3.6956460802569313,12-20
6_12_2020,6,2020,12,1.0606474813197653,12-20
7_12_2020,7,2020,12,0.6798127215317524,12-20
8_12_2020,8,2020,12,1.4002139174335686,12-20
1_1_2021,1,2021,1,3.9478753563461835,01-21
2_1_2021,2,2021,1,4.151939585262532,01-21
3_1_2021,3,2021,1,3.6610844186485223,01-21
4_1_2021,4,2021,1,3.9509985819546047,01-21
5_1_2021,5,2021,1,3.520266034937263,01-21
6_1_2021,6,2021,1,0.7722683178590398,01-21
7_1_2021,7,2021,1,0.6423785667233642,01-21
8_1_2021,8,2021,1,0.6448304449348402,01-21
1_2_2021,1,2021,2,3.503375929110262,02-21
