,pai,rh100,year,month,polygon_id,number,datetime,date
0,,,2019.0,4.0,1.0,2273,2019-04-01,04-19
8,4.19486434182651,3048.4296176192406,2019.0,5.0,1.0,12727,2019-05-01,05-19
16,4.121918573785297,3052.654489581537,2019.0,6.0,1.0,22005,2019-06-01,06-19
24,4.1538147447632285,3067.90695628956,2019.0,7.0,1.0,29049,2019-07-01,07-19
32,4.111967008291434,3071.0168181879585,2019.0,8.0,1.0,12615,2019-08-01,08-19
40,4.150749979062438,3019.589150994338,2019.0,9.0,1.0,32363,2019-09-01,09-19
48,4.126591426743902,2989.2328316595836,2019.0,10.0,1.0,19839,2019-10-01,10-19
56,4.13694004001516,2936.128805815161,2019.0,11.0,1.0,21684,2019-11-01,11-19
64,4.181493373597691,3029.5013687600645,2019.0,12.0,1.0,6627,2019-12-01,12-19
72,4.173661833511009,3072.7599415861605,2020.0,1.0,1.0,8949,2020-01-01,01-20
80,4.075569354560151,2997.821933859908,2020.0,2.0,1.0,2228,2020-02-01,02-20
88,4.0626953347706865,2975.989526982012,2020.0,3.0,1.0,34907,2020-03-01,03-20
96,4.103391100447819,3009.8412438047867,2020.0,4.0,1.0,390,2020-04-01,04-20
103,4.2137028217040156,3037.8102055800296,2020.0,5.0,1.0,21400,2020-05-01,05-20
111,4.215533895882881,3039.8303620185666,2020.0,6.0,1.0,40862,2020-06-01,06-20
301,4.215706631967275,3015.5987522071805,2020.0,7.0,1.0,0,2020-07-01,07-20
125,4.009068701162657,2969.5474554082803,2020.0,8.0,1.0,1613,2020-08-01,08-20
132,3.9559356444099665,2953.3146842187743,2020.0,9.0,1.0,10609,2020-09-01,09-20
139,4.050161638692751,3010.7683044798027,2020.0,10.0,1.0,540,2020-10-01,10-20
146,3.911783916348284,2960.551134899963,2020.0,11.0,1.0,18830,2020-11-01,11-20
154,4.048622188291326,2981.9411597709095,2020.0,12.0,1.0,15567,2020-12-01,12-20
162,3.941447011896108,2913.442275115257,2021.0,1.0,1.0,46619,2021-01-01,01-21
170,3.977747298171748,2916.1743081421446,2021.0,2.0,1.0,31084,2021-02-01,02-21
178,3.771474472341358,2815.642721483633,2021.0,3.0,1.0,4720,2021-03-01,03-21
302,4.06238681964522,2941.5635646909755,2021.0,4.0,1.0,0,2021-04-01,04-21
192,4.230813738016545,2976.283065755485,2021.0,5.0,1.0,2383,2021-05-01,05-21
200,4.220378583050883,3000.9252162699477,2021.0,6.0,1.0,58783,2021-06-01,06-21
208,4.226433438221959,3000.0024320653606,2021.0,7.0,1.0,31889,2021-07-01,07-21
