,pai,rh100,year,month,polygon_id,number,date,pai_interpolated
0,2.968226968947101,2092.7317588325654,2019,4,1,5208,04-19,
8,3.766816629088975,2731.9359347476448,2019,5,1,26114,05-19,3.798004277517171
16,3.9136493761208238,2847.9599198396795,2019,6,1,44411,06-19,3.7437821926569166
24,3.6083985414618507,2711.8560648871457,2019,7,1,60166,07-19,3.785950061852271
32,3.97396351311022,2822.7552712538454,2019,8,1,26654,08-19,3.7486270342645294
40,3.786409234653297,2815.184880088282,2019,9,1,64339,09-19,3.7380779646913913
48,3.5050840149843543,2403.3898985891747,2019,10,1,40331,10-19,3.6846383878044033
56,3.7002674235060105,2558.1717278666365,2019,11,1,44390,11-19,3.6556931848158594
64,3.9451326175380212,2864.942473498233,2019,12,1,14150,12-19,3.740803578739986
72,3.676016539746567,2698.007120393995,2020,1,1,16853,01-20,3.738256594862188
80,3.286509583799303,2234.6577681577683,2020,2,1,4158,02-20,3.6074301698762636
88,3.610011912796191,2596.462944749783,2020,3,1,69140,03-20,3.5886262194677028
96,3.32290833939307,2256.393070489845,2020,4,1,837,04-20,3.642697724776106
103,3.7005750519693685,2636.7292024455587,2020,5,1,43671,05-20,3.8143264841431517
111,3.878516032600359,2734.2272130599777,2020,6,1,83798,06-20,3.8175532842840156
299,,,2020,7,1,0,07-20,3.8502144659495183
125,3.011595412835219,2070.8493635077793,2020,8,1,2828,08-20,3.621357833977703
132,3.7082079033300546,2726.5731050113322,2020,9,1,19855,09-20,3.561891404468856
139,2.3378650700322146,2240.983666061706,2020,10,1,1102,10-20,3.606725081331858
146,3.590391941394843,2604.01332273871,2020,11,1,37755,11-20,3.4850481160102302
154,3.3938926407312513,2556.6974431340927,2020,12,1,29763,12-20,3.5825382012275995
162,3.6350973000677183,2566.8024984187223,2021,1,1,101184,01-21,3.454945757964563
170,3.20241325595723,2353.3663040300366,2021,2,1,64987,02-21,3.47105571751479
178,3.5617703667610927,2636.2756619896613,2021,3,1,9479,03-21,3.248156898066512
300,,,2021,4,1,0,04-21,3.5993561581010374
192,3.6820763150806823,2416.817042024611,2021,5,1,4307,05-21,3.8021797198762575
200,3.8065395152765937,2649.203600536035,2021,6,1,118649,06-21,3.812436366593679
208,3.8323249668521173,2752.8870034222273,2021,7,1,63409,07-21,3.8103328099923393
216,3.695396695888256,2399.0407691371547,2021,8,1,8217,08-21,3.7980850388698375
224,3.782718872174436,2681.1413984718683,2021,9,1,86380,09-21,3.775133786785433
301,,,2021,10,1,0,10-21,3.699926648763269
239,3.6436937133636196,2588.525735583198,2021,11,1,127178,11-21,3.638365032409008
247,3.578365830421798,2599.0623284639223,2021,12,1,11295,12-21,3.6536314030505714
254,3.675993044561205,2636.698612168909,2022,1,1,94536,01-22,3.570864422883621
262,3.2730256632765786,2231.617418952248,2022,2,1,33653,02-22,3.5613759814651353
270,3.3008821005142726,2268.133287292818,2022,3,1,4344,03-22,3.4615176140592565
278,3.576892856415698,2597.715409320312,2022,4,1,61028,04-22,3.5907287626890763
286,3.682315456142252,2661.931728131667,2022,5,1,22967,05-22,3.6057188680582932
302,,,2022,6,1,0,06-22,
1,2.703343067408523,1568.994162288383,2019,4,2,3426,04-19,
9,3.560928138897783,2249.8742637434557,2019,5,2,12224,05-19,3.631946448992363
17,3.7219378489768595,2244.8577523944978,2019,6,2,44999,06-19,3.555791246952226
25,3.311011236833752,2130.374188311688,2019,7,2,30800,07-19,3.7634197004725887
33,3.9570880853320944,2485.0169022025566,2019,8,2,81587,08-19,3.637455701503136
41,3.3872041313140624,2094.9157413047215,2019,9,2,64029,09-19,3.602298134320373
49,3.380160585612263,2100.961557042264,2019,10,2,68309,10-19,3.460764741729683
57,3.6692205372023934,2306.1870919033627,2019,11,2,49008,11-19,3.4959668582256533
65,2.855563300450883,2058.082781456954,2019,12,2,906,12-19,3.579490458112228
73,3.4463606338386232,2049.1694360434085,2020,1,2,28105,01-20,3.5012201589893457
81,3.539482825731518,2118.164291882556,2020,2,2,55584,02-20,3.5927762352716193
89,3.6886638267813665,2325.5027503793626,2020,3,2,73808,03-20,3.6067796456283725
97,2.2391542267486937,1276.9530878859857,2020,4,2,1684,04-20,3.5688131125810467
104,3.4659051212731935,2192.2374262083144,2020,5,2,64201,05-20,3.540632532336227
112,3.6306586025133,2228.0421067545985,2020,6,2,77636,06-20,3.556894667306513
119,3.561300702865732,2724.1093042877965,2020,7,2,26074,07-20,3.602904467910156
126,3.557734398915291,2058.0794950816903,2020,8,2,23687,08-20,3.5400862135807487
133,3.5193207672458704,2104.903012679339,2020,9,2,46769,09-20,3.5014636574391402
140,2.888848731783159,1768.2102288782141,2020,10,2,3539,10-20,3.318240962355689
147,2.9062500390140293,1798.2816908767895,2020,11,2,19138,11-20,3.121768159963343
155,3.2158713669429515,2071.6379349686254,2020,12,2,52590,12-20,3.38249372276657
163,3.704811285733903,2411.9059389874515,2021,1,2,55464,01-21,3.473619858660884
171,3.489953218798925,2161.5176452217365,2021,2,2,44828,02-21,3.604973768737079
179,3.5922858417507824,2156.409611288605,2021,3,2,30048,03-21,3.5274461190637285
186,3.4560935179357335,2371.2197333333334,2021,4,2,3750,04-21,3.48517821295491
193,3.3918814138509856,2426.6261589702044,2021,5,2,33327,05-21,3.4124456255197857
201,3.4191338812953442,2081.154608510584,2021,6,2,77997,06-21,3.4272990696958097
209,3.492202259667292,2279.2905103753706,2021,7,2,27999,07-21,3.4536067201076315
217,3.4931576669032784,2263.5403344810625,2021,8,2,40660,08-21,3.4193930566539565
225,3.2583002952333127,1998.5920762318933,2021,9,2,31273,09-21,3.4232170514303366
232,3.484579106633086,2233.8117756265747,2021,10,2,37705,10-21,3.2871468256848155
240,3.008107942923259,1783.2524632117722,2021,11,2,23445,11-21,3.2710482997796864
