,pai,rh100,year,month,polygon_id,number,date,pai_interpolated,rh100_interpolated
0,,,2019,4,1,5154,04-19,,
8,3.7795438843518427,2740.160101456516,2019,5,1,26021,05-19,3.7795438843518427,2740.160101456516
16,3.922343958719413,2853.519589257504,2019,6,1,44310,06-19,3.7562250927233576,2770.212687054199
24,3.6232382915942014,2721.6526238483107,2019,7,1,59912,07-19,3.797284636053938,2787.7580793102393
32,3.9809306558225814,2827.0957302864017,2019,8,1,26606,08-19,3.759148063591699,2782.2479133769457
40,3.7940661155981057,2820.2076038876085,2019,9,1,64204,09-19,3.7479031257893385,2696.4663230634137
48,3.519692963624067,2412.063105466318,2019,10,1,40155,10-19,3.6959006799191987,2634.3006649437357
56,3.7133796446563934,2566.1939400791407,2019,11,1,44225,11-19,3.6681945716078275,2546.5635880101913
64,3.948648148251751,2867.1913418688546,2019,12,1,14137,12-19,3.7527658335324414,2654.5017766598794
72,3.6915384612132547,2708.0581083497227,2020,1,1,16779,01-20,3.6915384612132547,2708.0581083497227
80,,,2020,2,1,4119,02-20,,
88,3.6280366711163485,2607.8513876975417,2020,3,1,68783,03-20,3.6280366711163485,2607.8513876975417
96,,,2020,4,1,829,04-20,,
103,3.7146654305364453,2645.578187502874,2020,5,1,43498,05-20,3.7146654305364453,2645.578187502874
111,3.88622779654226,2739.1111071249193,2020,6,1,83622,06-20,3.88622779654226,2739.1111071249193
299,,,2020,7,1,0,07-20,,
125,,,2020,8,1,2811,08-20,,
132,3.718253858761958,2733.109348957018,2020,9,1,19799,09-20,3.718253858761958,2733.109348957018
139,,,2020,10,1,1086,10-20,,
146,3.6045422167162875,2613.118939333493,2020,11,1,37599,11-20,3.6045422167162875,2613.118939333493
154,3.410588071799348,2567.8956060657233,2020,12,1,29609,12-20,3.599694049578259,2584.590611223639
162,3.6535126787146206,2578.844931049557,2021,1,1,100652,01-21,3.474255198147098,2507.100537005093
170,3.223840555460744,2367.2853091145794,2021,2,1,64523,02-21,3.491117478079388,2504.646176052788
178,3.586781963549197,2652.874694441492,2021,3,1,9409,03-21,3.586781963549197,2652.874694441492
300,,,2021,4,1,0,04-21,,
192,,,2021,5,1,4286,05-21,,
200,3.8197700028739474,2657.280983556638,2021,6,1,118224,06-21,3.8197700028739474,2657.280983556638
208,3.8427707228696057,2759.5659112116277,2021,7,1,63229,07-21,3.822395047276,2680.404224579757
216,3.7031133857661054,2403.346993535797,2021,8,1,8199,08-21,3.8061506632548627,2700.3074566466657
224,3.7890957274871457,2685.091476284356,2021,9,1,86230,09-21,3.7890957274871457,2685.091476284356
301,,,2021,10,1,0,10-21,,
239,3.6510887292216068,2593.0933968954378,2021,11,1,126910,11-21,3.6510887292216068,2593.0933968954378
247,3.5885502752207086,2605.6767605008436,2021,12,1,11261,12-21,3.6605057929972085,2612.8543994083093
254,3.6817533762425265,2640.281968151044,2022,1,1,94383,01-22,3.581186930571704,2542.3624740221917
262,3.2946656549981443,2244.462668701559,2022,2,1,33417,02-22,3.2946656549981443,2244.462668701559
270,,,2022,3,1,4302,03-22,,
278,3.583550179655243,2602.0052209033147,2022,4,1,60909,04-22,3.583550179655243,2602.0052209033147
286,3.6932877596351443,2669.094260504936,2022,5,1,22894,05-22,3.6932877596351443,2669.094260504936
302,,,2022,6,1,0,06-22,,
1,,,2019,4,2,3263,04-19,,
9,3.6028514608724973,2272.297391304348,2019,5,2,12075,05-19,3.6028514608724973,2272.297391304348
17,3.7565267435545215,2262.0031632080763,2019,6,2,44575,06-19,3.6012049424782018,2228.8726849986765
25,3.3715132228517484,2162.673194614443,2019,7,2,30229,07-19,3.7977143601320544,2364.7908562120424
33,3.979152995700853,2496.578993430054,2019,8,2,81127,08-19,3.6794813263568114,2303.436523504715
41,3.4413257555221093,2122.239951104902,2019,9,2,62992,09-19,3.6400738189664903,2265.1431635946115
49,3.418081248491961,2120.3870112559243,2019,10,2,67520,10-19,3.502478934050536,2175.6473478229314
